PCP_Specific Surface Area (BET)_value,PCP_Total Pore Volume_value,PCP_Micropore Volume_value,PCP_Micropore Specific Surface Area_value,PCP_Mesopore Volume_value,PCP_Average Pore Diameter_value,PCP_Degree of Graphitization (Raman ID_IG)_value,PCP_Interlayer Spacing (XRD d002)_value,PCP_Element Content_C_value,PCP_Element Content_N_value,PCP_Element Content_O_value,PCP_Element Content_H_value,PCP_Element Content_S_value,Electrochem_Specific Capacitance_condition_value,Electrochem_Specific Capacitance_value,Electrochem_Cycle Stability_Cycle Number_value,Electrochem_Cycle Stability_Capacity Retention_value,Electrochem_Energy Density_value,Electrochem_Power Density_value,Electrochem_Voltage Window_value_min,Electrochem_Voltage Window_value_max,Electrochem_ESR_value,Electrochem_Rct_value,Preparation_Carbonization Temperature_value,doi
663.0,0.33,,571.74,,,1.21,,84.82,1.44,11.76,,,,0.33,,,,,0.0,1.0,1.25,2.046,600.0,10.1016_j.apt.2016.04.033_extracted_structured
663.0,0.33,,571.74,,,1.21,,84.82,1.44,11.76,,,,2.02,,,,,0.0,1.0,1.25,2.046,600.0,10.1016_j.apt.2016.04.033_extracted_structured
1622.77,0.83,,890.41,,,1.15,,87.16,1.72,9.06,,,1.0,175.0,10000.0,100.0,11.0,7500.0,0.0,1.0,0.828,0.046,700.0,10.1016_j.apt.2016.04.033_extracted_structured
1622.77,0.83,,890.41,,,1.15,,87.16,1.72,9.06,,,0.1,475.0,10000.0,100.0,11.0,7500.0,0.0,1.0,0.828,0.046,700.0,10.1016_j.apt.2016.04.033_extracted_structured
1622.77,0.83,,890.41,,,1.15,,87.16,1.72,9.06,,,,,10000.0,100.0,11.0,7500.0,0.0,1.0,0.828,0.046,700.0,10.1016_j.apt.2016.04.033_extracted_structured
1622.77,0.83,,890.41,,,1.15,,87.16,1.72,9.06,,,,,10000.0,100.0,11.0,7500.0,0.0,1.0,0.828,0.046,700.0,10.1016_j.apt.2016.04.033_extracted_structured
1622.77,0.83,,890.41,,,1.15,,87.16,1.72,9.06,,,,,10000.0,100.0,11.0,7500.0,0.0,1.0,0.828,0.046,700.0,10.1016_j.apt.2016.04.033_extracted_structured
1622.77,0.83,,890.41,,,1.15,,87.16,1.72,9.06,,,,0.83,10000.0,100.0,11.0,7500.0,0.0,1.0,0.828,0.046,700.0,10.1016_j.apt.2016.04.033_extracted_structured
1622.77,0.83,,890.41,,,1.15,,87.16,1.72,9.06,,,,2.04,10000.0,100.0,11.0,7500.0,0.0,1.0,0.828,0.046,700.0,10.1016_j.apt.2016.04.033_extracted_structured
1206.38,0.63,,888.78,,,1.17,,81.83,0.65,15.5,,,10.0,148.6,,,,,0.0,1.0,0.905,0.067,800.0,10.1016_j.apt.2016.04.033_extracted_structured
1206.38,0.63,,888.78,,,1.17,,81.83,0.65,15.5,,,,,,,,,0.0,1.0,0.905,0.067,800.0,10.1016_j.apt.2016.04.033_extracted_structured
1206.38,0.63,,888.78,,,1.17,,81.83,0.65,15.5,,,,,,,,,0.0,1.0,0.905,0.067,800.0,10.1016_j.apt.2016.04.033_extracted_structured
1206.38,0.63,,888.78,,,1.17,,81.83,0.65,15.5,,,,317.6,,,,,0.0,1.0,0.905,0.067,800.0,10.1016_j.apt.2016.04.033_extracted_structured
1206.38,0.63,,888.78,,,1.17,,81.83,0.65,15.5,,,,0.63,,,,,0.0,1.0,0.905,0.067,800.0,10.1016_j.apt.2016.04.033_extracted_structured
1206.38,0.63,,888.78,,,1.17,,81.83,0.65,15.5,,,,2.08,,,,,0.0,1.0,0.905,0.067,800.0,10.1016_j.apt.2016.04.033_extracted_structured
54.3,,,,,,0.826,,,,,,,8.0,,5000.0,89.0,28.36,2042.21,0.0,0.8,,,,10.1016_j.jallcom.2024.174076_extracted_structured
41.3,,,,,,0.821,,,,,,,,211.8,,,,,0.0,0.8,,,,10.1016_j.jallcom.2024.174076_extracted_structured
2644.884,1.171,0.668,1726.838,0.503,1.771,,,,,,,,1.0,236.3,,,,,0.0,1.0,,,800.0,10.1016_j.mtsust.2024.101007_extracted_structured
2644.884,1.171,0.668,1726.838,0.503,1.771,,,,,,,,0.1,215.2,,,,,0.0,1.0,,,800.0,10.1016_j.mtsust.2024.101007_extracted_structured
2391.166,0.987,0.811,2090.432,0.176,1.651,,,,,,,,1.0,278.0,10000.0,,,,0.0,1.0,,0.53,800.0,10.1016_j.mtsust.2024.101007_extracted_structured
2391.166,0.987,0.811,2090.432,0.176,1.651,,,,,,,,0.1,275.6,10000.0,,,,0.0,1.0,,0.53,800.0,10.1016_j.mtsust.2024.101007_extracted_structured
2209.71,0.898,0.763,1990.257,0.135,1.626,,,,,,,,1.0,271.1,,,,,0.0,1.0,,,800.0,10.1016_j.mtsust.2024.101007_extracted_structured
2209.71,0.898,0.763,1990.257,0.135,1.626,,,,,,,,0.1,264.5,,,,,0.0,1.0,,,800.0,10.1016_j.mtsust.2024.101007_extracted_structured
2293.783,0.953,0.826,2109.376,0.127,1.66,,,,,,,,1.0,264.5,,,,,0.0,1.0,,,800.0,10.1016_j.mtsust.2024.101007_extracted_structured
2293.783,0.953,0.826,2109.376,0.127,1.66,,,,,,,,,,,,,,0.0,1.0,,,800.0,10.1016_j.mtsust.2024.101007_extracted_structured
1881.657,0.753,0.667,1749.175,0.086,1.6,,,,,,,,,,,,,,0.0,1.0,,,800.0,10.1016_j.mtsust.2024.101007_extracted_structured
485.02,,,,,,1.17,0.376,,,9.36,,,,,,,,,0.2,-1.0,,,,10.1016_j.jpowsour.2014.07.180_extracted_structured
1436.02,,,,,,1.24,0.376,,1.59,2.12,,,,,14.0,,,,0.2,-1.0,,,,10.1016_j.jpowsour.2014.07.180_extracted_structured
21.0,,,,,,,,,,,,,0.5,234.0,,100.0,,,0.0,0.75,,,800.0,10.1016_j.biortech.2012.02.010_extracted_structured
21.0,,,,,,,,,,,,,,272.0,,100.0,,,0.0,0.75,,,800.0,10.1016_j.biortech.2012.02.010_extracted_structured
21.0,,,,,,,,,,,,,1.0,175.0,,100.0,,,0.0,0.75,,,800.0,10.1016_j.biortech.2012.02.010_extracted_structured
1279.0,0.47,,,0.31,,,,,,,,,0.5,277.0,,90.0,,,0.0,0.75,,,800.0,10.1016_j.biortech.2012.02.010_extracted_structured
1279.0,0.47,,,0.31,,,,,,,,,,269.0,,90.0,,,0.0,0.75,,,800.0,10.1016_j.biortech.2012.02.010_extracted_structured
1279.0,0.47,,,0.31,,,,,,,,,1.0,242.0,,90.0,,,0.0,0.75,,,800.0,10.1016_j.biortech.2012.02.010_extracted_structured
1430.0,0.58,,,0.1,,,,,,,,,0.5,321.0,,90.0,,,0.0,0.75,,,800.0,10.1016_j.biortech.2012.02.010_extracted_structured
1430.0,0.58,,,0.1,,,,,,,,,,325.0,,90.0,,,0.0,0.75,,,800.0,10.1016_j.biortech.2012.02.010_extracted_structured
1430.0,0.58,,,0.1,,,,,,,,,1.0,291.0,,90.0,,,0.0,0.75,,,800.0,10.1016_j.biortech.2012.02.010_extracted_structured
2132.0,0.96,,,1.22,,,,,0.6,20.3,,,0.5,228.0,,,,,0.0,0.75,,,800.0,10.1016_j.biortech.2012.02.010_extracted_structured
2132.0,0.96,,,1.22,,,,,0.6,20.3,,,,259.0,,,,,0.0,0.75,,,800.0,10.1016_j.biortech.2012.02.010_extracted_structured
2132.0,0.96,,,1.22,,,,,0.6,20.3,,,1.0,135.0,,,,,0.0,0.75,,,800.0,10.1016_j.biortech.2012.02.010_extracted_structured
1654.0,0.62,,,0.58,,,,,2.0,4.1,,,0.5,358.0,,93.0,,,0.0,0.75,,,800.0,10.1016_j.biortech.2012.02.010_extracted_structured
1654.0,0.62,,,0.58,,,,,2.0,4.1,,,,355.0,,93.0,,,0.0,0.75,,,800.0,10.1016_j.biortech.2012.02.010_extracted_structured
1654.0,0.62,,,0.58,,,,,2.0,4.1,,,1.0,329.0,,93.0,,,0.0,0.75,,,800.0,10.1016_j.biortech.2012.02.010_extracted_structured
443.3587,0.290966,0.111573,,0.179393,,,,,,,,,,,,,,,-1.0,0.0,,,600.0,10.1016_j.diamond.2024.111622_extracted_structured
480.5224,0.324439,0.117979,,0.216388,,,,,,,,,,,,,,,-1.0,0.0,,,700.0,10.1016_j.diamond.2024.111622_extracted_structured
599.0699,0.384278,0.16398,,0.228466,,,,,,,,,0.3,242.0,,,,,-1.0,0.0,,,800.0,10.1016_j.diamond.2024.111622_extracted_structured
555.4427,0.404903,0.145057,,0.271776,,,,,,,,,,,,,,,-1.0,0.0,,,900.0,10.1016_j.diamond.2024.111622_extracted_structured
1043.2697,0.635415,0.255535,,0.485135,,,,,,,,,0.5,203.0,17000.0,99.9,,,-1.0,0.0,,,800.0,10.1016_j.diamond.2024.111622_extracted_structured
1043.2697,0.635415,0.255535,,0.485135,,,,,,,,,1.0,186.0,17000.0,99.9,,,-1.0,0.0,,,800.0,10.1016_j.diamond.2024.111622_extracted_structured
1043.2697,0.635415,0.255535,,0.485135,,,,,,,,,2.0,170.0,17000.0,99.9,,,-1.0,0.0,,,800.0,10.1016_j.diamond.2024.111622_extracted_structured
1043.2697,0.635415,0.255535,,0.485135,,,,,,,,,4.0,168.0,17000.0,99.9,,,-1.0,0.0,,,800.0,10.1016_j.diamond.2024.111622_extracted_structured
1043.2697,0.635415,0.255535,,0.485135,,,,,,,,,8.0,164.0,17000.0,99.9,,,-1.0,0.0,,,800.0,10.1016_j.diamond.2024.111622_extracted_structured
1043.2697,0.635415,0.255535,,0.485135,,,,,,,,,16.0,160.0,17000.0,99.9,,,-1.0,0.0,,,800.0,10.1016_j.diamond.2024.111622_extracted_structured
1161.058,0.83666,0.33158,,0.650304,,,,,,,,,0.5,203.0,17000.0,99.9,,,-1.0,0.0,,,800.0,10.1016_j.diamond.2024.111622_extracted_structured
1161.058,0.83666,0.33158,,0.650304,,,,,,,,,1.0,186.0,17000.0,99.9,,,-1.0,0.0,,,800.0,10.1016_j.diamond.2024.111622_extracted_structured
1161.058,0.83666,0.33158,,0.650304,,,,,,,,,2.0,170.0,17000.0,99.9,,,-1.0,0.0,,,800.0,10.1016_j.diamond.2024.111622_extracted_structured
1161.058,0.83666,0.33158,,0.650304,,,,,,,,,4.0,168.0,17000.0,99.9,,,-1.0,0.0,,,800.0,10.1016_j.diamond.2024.111622_extracted_structured
1161.058,0.83666,0.33158,,0.650304,,,,,,,,,8.0,164.0,17000.0,99.9,,,-1.0,0.0,,,800.0,10.1016_j.diamond.2024.111622_extracted_structured
1161.058,0.83666,0.33158,,0.650304,,,,,,,,,16.0,160.0,17000.0,99.9,,,-1.0,0.0,,,800.0,10.1016_j.diamond.2024.111622_extracted_structured
1348.2935,1.029731,0.350369,,0.837559,,,,,,,,,0.3,242.0,17000.0,99.9,,80.0,-1.0,0.0,1.0,1.0,800.0,10.1016_j.diamond.2024.111622_extracted_structured
852.2712,0.709821,0.215628,,0.593224,,,,,,,,,0.5,203.0,,,,,-1.0,0.0,,,800.0,10.1016_j.diamond.2024.111622_extracted_structured
852.2712,0.709821,0.215628,,0.593224,,,,,,,,,1.0,186.0,,,,,-1.0,0.0,,,800.0,10.1016_j.diamond.2024.111622_extracted_structured
852.2712,0.709821,0.215628,,0.593224,,,,,,,,,2.0,170.0,,,,,-1.0,0.0,,,800.0,10.1016_j.diamond.2024.111622_extracted_structured
,,,,,,,,,,,,,,,,,,,,,,,600.0,10.1016_j.apsusc.2019.143722_extracted_structured
,,,,,,,,,,,,,,,,,,,,,,,650.0,10.1016_j.apsusc.2019.143722_extracted_structured
,,,,,,,,,,,,,,,,,,,,,,,700.0,10.1016_j.apsusc.2019.143722_extracted_structured
,,,,,,,,,,,,,,,,,,,,,,,750.0,10.1016_j.apsusc.2019.143722_extracted_structured
,,,,,,,,,,,,,,,,,,,,,,,800.0,10.1016_j.apsusc.2019.143722_extracted_structured
1968.0,1.144,0.401,0.552,,,0.76,,,,,,,1.0,223.5,5000.0,92.0,,,,,,,850.0,10.1016_j.apsusc.2019.143722_extracted_structured
1968.0,1.144,0.401,0.552,,,0.76,,,,,,,5.0,187.0,5000.0,92.0,,,,,,,850.0,10.1016_j.apsusc.2019.143722_extracted_structured
1968.0,1.144,0.401,0.552,,,0.76,,,,,,,10.0,160.0,5000.0,92.0,,,,,,,850.0,10.1016_j.apsusc.2019.143722_extracted_structured
,,,,,,,,,,,,,,,,,,,,,,,900.0,10.1016_j.apsusc.2019.143722_extracted_structured
,,,,,,,,,,,,,,,,,,,,,,,800.0,10.1016_j.apsusc.2019.143722_extracted_structured
,,,,,,,,,,,,,,,,,,,,,,,800.0,10.1016_j.apsusc.2019.143722_extracted_structured
,,,,,,,,,,,,,,,,,,,,,,,800.0,10.1016_j.apsusc.2019.143722_extracted_structured
,,,,,,,,,,,,,,,,,,,,,,,800.0,10.1016_j.apsusc.2019.143722_extracted_structured
,,,,,,,,,,,,,,,,,,,,,,,850.0,10.1016_j.apsusc.2019.143722_extracted_structured
,,,,,,,,,,,,,,,,,,,,,,,,10.1016_j.apsusc.2019.143722_extracted_structured
,,,,,,,,85.8,0.3,13.5,0.5,,,74.0,,,2.54,725.44,0.0,1.0,1.31,0.08,,10.1016_j.carbon.2017.05.056_extracted_structured
,,,,,,,,85.6,0.2,13.5,0.7,,,,,,,,0.0,1.0,1.51,0.06,,10.1016_j.carbon.2017.05.056_extracted_structured
,,,,,,,,81.8,0.6,16.8,0.9,,,,,,,,0.0,1.0,1.38,0.36,,10.1016_j.carbon.2017.05.056_extracted_structured
16.2,0.007,,,,,,,84.6,1.9,12.8,0.7,,,,,,,,0.0,1.0,0.88,0.03,700.0,10.1016_j.carbon.2017.05.056_extracted_structured
,,,,,,,,87.1,0.2,12.6,0.1,,,,,,,,0.0,1.0,1.11,0.12,,10.1016_j.carbon.2017.05.056_extracted_structured
,,,,,,,,77.3,0.4,21.8,0.5,,,,,,,,0.0,1.0,1.31,0.23,,10.1016_j.carbon.2017.05.056_extracted_structured
,,,,,,,,83.4,0.3,15.9,0.5,,,,,,,,0.0,1.0,1.26,0.12,,10.1016_j.carbon.2017.05.056_extracted_structured
,,,,,,,,88.4,0.6,10.7,0.3,,,,,,,,0.0,1.0,1.03,0.1,700.0,10.1016_j.carbon.2017.05.056_extracted_structured
345.7,,,,,,,,,,,,,,,,,,,-1.0,0.0,,,,10.1016_j.est.2024.114228_extracted_structured
1275.8,,,,,,,,,,,,,,,,,,,-1.0,0.0,,,600.0,10.1016_j.est.2024.114228_extracted_structured
2119.2,,,,,,0.97,,,,,,,1.0,215.0,10000.0,,,,-1.0,0.0,0.5038,,700.0,10.1016_j.est.2024.114228_extracted_structured
2340.8,,,,,,,,,,,,,,,,,,,-1.0,0.0,,,800.0,10.1016_j.est.2024.114228_extracted_structured
,,,,,,1.13,,,0.0,,,,1.0,97.0,,,,,-1.0,0.0,0.598,,,10.1016_j.est.2024.114228_extracted_structured
,,,,,,1.01,,,,,,,1.0,70.0,,,,,0.0,-1.0,,,800.0,10.1016_j.biortech.2021.125918_extracted_structured
,,,,,,,,,,,,,1.0,140.0,,,,,0.0,-1.0,,,800.0,10.1016_j.biortech.2021.125918_extracted_structured
2097.0,1.62,1.12,1569.0,0.5,2.1,1.06,,91.61,,8.18,,0.21,1.0,313.0,6000.0,94.0,,,-1.0,0.0,0.73,0.33,700.0,10.1016_j.est.2023.109094_extracted_structured
2097.0,1.62,1.12,1569.0,0.5,2.1,1.06,,91.61,,8.18,,0.21,1.0,295.0,6000.0,94.0,,,-1.0,0.0,0.73,0.33,700.0,10.1016_j.est.2023.109094_extracted_structured
2097.0,1.62,1.12,1569.0,0.5,2.1,1.06,,91.61,,8.18,,0.21,1.0,281.0,6000.0,94.0,,,-1.0,0.0,0.73,0.33,700.0,10.1016_j.est.2023.109094_extracted_structured
2097.0,1.62,1.12,1569.0,0.5,2.1,1.06,,91.61,,8.18,,0.21,1.0,265.0,6000.0,94.0,,,-1.0,0.0,0.73,0.33,700.0,10.1016_j.est.2023.109094_extracted_structured
2097.0,1.62,1.12,1569.0,0.5,2.1,1.06,,91.61,,8.18,,0.21,1.0,249.0,6000.0,94.0,,,-1.0,0.0,0.73,0.33,700.0,10.1016_j.est.2023.109094_extracted_structured
1532.0,1.02,0.35,721.0,0.67,2.7,1.03,,91.19,,8.52,,0.29,1.0,292.0,,,,,-1.0,0.0,0.83,0.52,700.0,10.1016_j.est.2023.109094_extracted_structured
1532.0,1.02,0.35,721.0,0.67,2.7,1.03,,91.19,,8.52,,0.29,5.0,273.0,,,,,-1.0,0.0,0.83,0.52,700.0,10.1016_j.est.2023.109094_extracted_structured
1532.0,1.02,0.35,721.0,0.67,2.7,1.03,,91.19,,8.52,,0.29,10.0,260.0,,,,,-1.0,0.0,0.83,0.52,700.0,10.1016_j.est.2023.109094_extracted_structured
1532.0,1.02,0.35,721.0,0.67,2.7,1.03,,91.19,,8.52,,0.29,1.0,274.0,,,,,-1.0,0.0,0.83,0.52,700.0,10.1016_j.est.2023.109094_extracted_structured
1080.0,1.1,0.12,356.0,0.98,6.0,1.01,,90.07,,9.62,,0.31,1.0,276.0,,,,,-1.0,0.0,1.4,0.47,700.0,10.1016_j.est.2023.109094_extracted_structured
1080.0,1.1,0.12,356.0,0.98,6.0,1.01,,90.07,,9.62,,0.31,5.0,252.0,,,,,-1.0,0.0,1.4,0.47,700.0,10.1016_j.est.2023.109094_extracted_structured
1080.0,1.1,0.12,356.0,0.98,6.0,1.01,,90.07,,9.62,,0.31,10.0,242.0,,,,,-1.0,0.0,1.4,0.47,700.0,10.1016_j.est.2023.109094_extracted_structured
1080.0,1.1,0.12,356.0,0.98,6.0,1.01,,90.07,,9.62,,0.31,10.0,259.0,,,,,-1.0,0.0,1.4,0.47,700.0,10.1016_j.est.2023.109094_extracted_structured
1600.0,0.64,0.34,,0.3,1.91,1.28,,84.44,,10.01,0.71,,0.0,213.0,,,,,,,,,675.0,10.1016_j.micromeso.2015.11.041_extracted_structured
971.0,0.42,0.28,,0.14,2.6,1.2,,71.33,,20.23,1.84,,0.0,197.0,,,,,,,,,675.0,10.1016_j.micromeso.2015.11.041_extracted_structured
1674.0,0.63,0.33,,0.3,2.97,1.0,,89.89,,3.95,0.36,,0.0,240.0,,,,,,,,,875.0,10.1016_j.micromeso.2015.11.041_extracted_structured
,,,,,,,,,,,,,,,,,,,,,,,,10.1016_j.pmatsci.2014.10.004_extracted_structured
684.0,,,,,,,0.236,,,,,,1.0,262.3,,,,,0.0,1.6,0.69,,900.0,10.1016_j.jallcom.2021.160660_extracted_structured
1007.0,0.4504,0.3492,,0.0876,1.79,1.13,,82.45,2.47,14.81,,0.27,0.5,281.6,,,,,0.0,1.0,,,700.0,10.1016_j.jaap.2024.106525_extracted_structured
1007.0,0.4504,0.3492,,0.0876,1.79,1.13,,82.45,2.47,14.81,,0.27,,219.4,,,,,0.0,1.0,,,700.0,10.1016_j.jaap.2024.106525_extracted_structured
5.0,0.0117,0.0006,,0.0109,,1.41,,84.88,4.66,10.24,,0.23,0.5,89.1,,,,,0.0,1.0,0.655,,,10.1016_j.jaap.2024.106525_extracted_structured
5.0,0.0117,0.0006,,0.0109,,1.41,,84.88,4.66,10.24,,0.23,,28.36,,,,,0.0,1.0,0.655,,,10.1016_j.jaap.2024.106525_extracted_structured
1089.0,0.4779,0.378,,0.085,1.76,1.15,,81.92,2.8,14.97,,0.31,0.5,291.3,,,,,0.0,1.0,,,700.0,10.1016_j.jaap.2024.106525_extracted_structured
1089.0,0.4779,0.378,,0.085,1.76,1.15,,81.92,2.8,14.97,,0.31,,231.0,,,,,0.0,1.0,,,700.0,10.1016_j.jaap.2024.106525_extracted_structured
1171.0,0.4893,0.4107,,0.062,1.67,1.2,,80.73,2.38,16.63,,0.26,0.5,324.85,10000.0,96.02,14.67,6500.0,0.0,1.0,0.445,0.478,700.0,10.1016_j.jaap.2024.106525_extracted_structured
1171.0,0.4893,0.4107,,0.062,1.67,1.2,,80.73,2.38,16.63,,0.26,,246.6,10000.0,96.02,14.67,6500.0,0.0,1.0,0.445,0.478,700.0,10.1016_j.jaap.2024.106525_extracted_structured
1201.0,0.4952,0.4216,,0.0581,1.65,1.18,,81.18,2.65,15.8,,0.36,0.5,316.1,,,,,0.0,1.0,,,700.0,10.1016_j.jaap.2024.106525_extracted_structured
1201.0,0.4952,0.4216,,0.0581,1.65,1.18,,81.18,2.65,15.8,,0.36,,237.2,,,,,0.0,1.0,,,700.0,10.1016_j.jaap.2024.106525_extracted_structured
1083.0,0.4691,0.3798,,0.0746,1.73,1.34,,86.24,2.58,10.99,,0.19,0.5,307.9,,,,,0.0,1.0,0.547,,,10.1016_j.jaap.2024.106525_extracted_structured
1083.0,0.4691,0.3798,,0.0746,1.73,1.34,,86.24,2.58,10.99,,0.19,,234.6,,,,,0.0,1.0,0.547,,,10.1016_j.jaap.2024.106525_extracted_structured
76.9,,,,,,0.96,,88.7,2.1,9.2,,,3.3,165.0,5000.0,90.0,6.6,7300.0,,,3.89,0.018,,10.1016_j.jelechem.2020.114053_extracted_structured
76.9,,,,,,0.96,,88.7,2.1,9.2,,,3.3,97.3,5000.0,90.0,6.6,7300.0,,,3.89,0.018,,10.1016_j.jelechem.2020.114053_extracted_structured
,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,10.1016_j.gee.2023.10.005_extracted_structured
1731.5,0.76,,,,,1.1,,,,,,,0.5,296.4,,,5.9,3750.0,0.0,1.0,0.43,,750.0,10.1016_j.gee.2023.10.005_extracted_structured
1363.2,,,,,,1.21,,,,,,,0.5,328.1,10000.0,98.6,11.39,,0.0,1.0,0.44,,750.0,10.1016_j.gee.2023.10.005_extracted_structured
1363.2,,,,,,1.21,,,,,,,2.0,98.6,10000.0,98.6,11.39,,0.0,1.0,0.44,,750.0,10.1016_j.gee.2023.10.005_extracted_structured
,,,,,,,,,,,,,,,,,,,,,,,,10.1016_j.fueleneab.2018.03.002_extracted_structured
886.15,0.51,,,,2.97,,,,,,,,,,,,,,,,,,800.0,10.1016_j.catcom.2023.106608_extracted_structured
511.99,0.21,,,,3.17,,,,,,,,,,,,,,,,,,600.0,10.1016_j.catcom.2023.106608_extracted_structured
582.76,0.23,,,,2.97,,,,,,,,,,,,,,,,,,700.0,10.1016_j.catcom.2023.106608_extracted_structured
599.17,0.28,,,,3.5,,,,,,,,,,,,,,,,,,800.0,10.1016_j.catcom.2023.106608_extracted_structured
