PCP_Specific Surface Area (BET)_value,PCP_Total Pore Volume_value,PCP_Micropore Volume_value,PCP_Micropore Specific Surface Area_value,PCP_Mesopore Volume_value,PCP_Average Pore Diameter_value,PCP_Degree of Graphitization (Raman ID_IG)_value,PCP_Interlayer Spacing (XRD d002)_value,PCP_Element Content_C_value,PCP_Element Content_N_value,PCP_Element Content_O_value,PCP_Element Content_H_value,PCP_Element Content_S_value,Electrochem_Specific Capacitance_condition_value,Electrochem_Specific Capacitance_value,Electrochem_Cycle Stability_Cycle Number_value,Electrochem_Cycle Stability_Capacity Retention_value,Electrochem_Energy Density_value,Electrochem_Power Density_value,Electrochem_Voltage Window_value_min,Electrochem_Voltage Window_value_max,Electrochem_ESR_value,Electrochem_Rct_value,Preparation_Carbonization Temperature_value,doi,Sample Name,evaluation_result,evaluation_reason
1080.0,1.1,0.12,356.0,0.98,6.0,1.01,,90.07,,9.62,,0.31,10.0,242.0,,,,,-1.0,0.0,1.4,0.47,700.0,10.1016_j.est.2023.109094_extracted_structured,c-pc,F,提取的信息中存在以下错误：1) 样品名称为 'c-pc'，但原文中对应材料为 'C-PC'（大小写不一致）；2) Electrochem_ESR_value 提取为 1.4 Ohm，但原文中 C-PC 的 ESR（RΩ）值为 1.14 Ohm；3) PCP_Mesopore Volume_value 提取为 0.98 m³/g，但原文未直接给出 C-PC 的介孔体积数据，该值是通过总孔体积（1.10 m³/g）和微孔占比（10.5%）计算得出的推断结果，违反了'非虚构性'要求；4) 其他数据（如比表面积、孔体积、元素含量等）与原文一致，但上述错误导致整体评估不通过。
1080.0,1.1,0.12,356.0,0.98,6.0,1.01,,90.07,,9.62,,0.31,10.0,259.0,,,,,-1.0,0.0,1.4,0.47,700.0,10.1016_j.est.2023.109094_extracted_structured,c-pc,,
1007.0,0.4504,0.3492,,0.0876,1.79,1.13,,82.45,2.47,14.81,,0.27,0.5,281.6,,,,,0.0,1.0,,,700.0,10.1016_j.jaap.2024.106525_extracted_structured,bc-sa,,
1007.0,0.4504,0.3492,,0.0876,1.79,1.13,,82.45,2.47,14.81,,0.27,,219.4,,,,,0.0,1.0,,,700.0,10.1016_j.jaap.2024.106525_extracted_structured,bc-sa,,
514.0,0.52,0.19,363.0,0.33,6.2,0.98,,64.41,,,,,5.0,487.0,,78.0,,,0.0,0.4,,,650.0,10.1016_j.nanoso.2018.10.002_extracted_structured,1mno2-0.2bc,F,"提取的循环稳定性容量保持率为78.0%，但原文中1MnO2-0.2BC的容量保持率是91%（原文提到'After 50 000 cycles, capacity retentions of 91, 85, and 78%, for 1MnO2-0.2BC, 2MnO2-0.2BC, and 4MnO2-0.2BC, respectively'），78%是4MnO2-0.2BC的值。另外，电压窗口的最小值0.0和最大值0.4在原文中没有明确对应1MnO2-0.2BC，虽然文中提到正电位范围从0到0.4V，但没有明确说明这是1MnO2-0.2BC的电压窗口。"
514.0,0.52,0.19,363.0,0.33,6.2,0.98,,64.41,,,,,,131.0,,78.0,,,0.0,0.4,,,650.0,10.1016_j.nanoso.2018.10.002_extracted_structured,1mno2-0.2bc,,
1869.543,0.852,0.715,1763.776,0.137,3.209,0.92,,63.13,4.03,24.62,,0.4,0.2,216.6,5000.0,88.0,,,0.0,-1.0,0.58,,,10.1016_j.biortech.2020.123735_extracted_structured,chlorella + bio-oil,,
955.0,0.52,0.38,,0.14,0.98,1.024,,66.4,2.71,7.63,,,0.5,136.5,,,,,-1.0,0.0,,,800.0,10.1016_j.electacta.2020.137010_extracted_structured,bnc-10,T,所有提取的数值、单位和材料名称均与原文完全对应。具体依据：Sample Name 'bnc-10' 在原文 Table 1 和 Table 2 中明确列出；PCP_Specific Surface Area (BET)_value 955.0 m² g⁻¹ 对应 Table 2 中 BNC-10 的 SBET；PCP_Total Pore Volume_value 0.52 cm³ g⁻¹ 对应 Table 2 中 BNC-10 的 V0.99；PCP_Micropore Volume_value 0.38 cm³ g⁻¹ 对应 Table 2 中 BNC-10 的 VDR；PCP_Micropore Specific Surface Area_value 为 null 因原文未提供该数据；PCP_Mesopore Volume_value 0.14 cm³ g⁻¹ 对应 Table 2 中 BNC-10 的 Vmeso；PCP_Average Pore Diameter_value 0.98 nm 对应 Table 2 中 BNC-10 的 L0；PCP_Degree of Graphitization (Raman ID_IG)_value 1.024 对应原文 3.1 节中 BNC-10 的 ID/IG 值；PCP_Interlayer Spacing (XRD d002)_value 为 null 因原文未提供该数据；PCP_Element Content_C_value 66.4 at%、N_value 2.71 at%、O_value 7.63 at% 对应 Table 1 中 BNC-10 的元素含量；PCP_Element Content_H_value 和 S_value 为 null 因原文未提及；Electrochem_Specific Capacitance_condition_value 0.5 A g⁻¹ 和 value 136.5 F g⁻¹ 对应原文 3.4 节中 BNC-10 在 0.5 A g⁻¹ 下的比电容；Electrochem_Cycle Stability_Cycle Number_value 和 Capacity Retention_value 为 null 因原文未提供 BNC-10 的循环数据；Electrochem_Energy Density_value 和 Power Density_value 为 null 因原文未提供 BNC-10 的相关数据；Electrochem_Voltage Window_value_min -1.0 V 和 max 0.0 V 对应原文 3.4 节中三电极系统的测试范围；Electrochem_ESR_value 和 Rct_value 为 null 因原文未提供 BNC-10 的具体电阻值；Preparation_Carbonization Temperature_value 800.0 °C 对应原文 2.2 节中的碳化温度。所有 null 值均因原文缺失相应数据，符合完整性要求。
891.0,0.46,0.36,,0.1,0.96,0.973,,62.46,1.73,7.8,,,0.5,188.0,,,9.33,400.0,-1.0,0.0,0.33,,800.0,10.1016_j.electacta.2020.137010_extracted_structured,bnc-20,,
891.0,0.46,0.36,,0.1,0.96,0.973,,62.46,1.73,7.8,,,0.5,105.0,,,9.33,400.0,-1.0,0.0,0.33,,800.0,10.1016_j.electacta.2020.137010_extracted_structured,bnc-20,,
891.0,0.46,0.36,,0.1,0.96,0.973,,62.46,1.73,7.8,,,5.0,62.5,,,9.33,400.0,-1.0,0.0,0.33,,800.0,10.1016_j.electacta.2020.137010_extracted_structured,bnc-20,,
465.8,1.76,0.185,,0.021,2.22,0.9,,,,,,,1.0,47.0,,,,,0.0,1.0,,,600.0,10.1016_j.colsurfa.2023.132874_extracted_structured,p-kf-6,F,提取的以下信息不准确或与原文不符：1) PCP_Total Pore Volume_value 提取为 1.76，但原文 Table 1 中 p-KF-6 的总孔体积 (V total) 为 0.206 cm³/g；2) PCP_Average Pore Diameter_value 提取为 2.22，但原文 Table 1 中 p-KF-6 的平均孔径为 1.76 nm；3) Electrochem_Voltage_Window_value_min 提取为 0.0，但原文中 p-KF-6 的电化学测试在 -1.0 到 0 V 下进行（见 '3.4 Electrochemical properties' 部分），min 应为 -1.0；4) Electrochem_Voltage_Window_value_max 提取为 1.0，但应为 0.0。其他信息如 PCP_Specific Surface Area (BET)_value (465.8)、PCP_Micropore Volume_value (0.185)、PCP_Mesopore Volume_value (0.021)、PCP_Degree of Graphitization (Raman ID_IG)_value (0.9)、Electrochem_Specific Capacitance_value (47.0) 和 Preparation_Carbonization Temperature_value (600.0) 与原文一致，null 值也合理，但上述错误导致整体评估为 F。
1028.5,1.77,0.403,,0.052,2.15,1.01,,,,,,,1.0,58.0,,,,,0.0,1.0,,,800.0,10.1016_j.colsurfa.2023.132874_extracted_structured,p-kf-8,,
1241.9,0.669,0.546,,0.123,2.15,1.02,,,,,,,1.0,66.0,,,,,0.0,1.0,,,900.0,10.1016_j.colsurfa.2023.132874_extracted_structured,p-kf-9,,
1241.9,0.669,0.546,,0.123,2.15,1.02,,,,,,,1.0,86.0,,,,,0.0,1.0,,,900.0,10.1016_j.colsurfa.2023.132874_extracted_structured,p-kf-9,,
1374.8,0.752,0.541,,0.211,2.18,1.05,,,,,,,1.0,86.0,,,,,0.0,1.0,,,900.0,10.1016_j.colsurfa.2023.132874_extracted_structured,p-kf-9a,,
1733.3,0.916,0.655,,0.261,2.11,1.08,,,,,,,1.0,113.0,10000.0,96.3,4.86,2500.0,0.0,1.0,0.32,0.57,900.0,10.1016_j.colsurfa.2023.132874_extracted_structured,p-kf-9b,,
1733.3,0.916,0.655,,0.261,2.11,1.08,,,,,,,0.5,32.5,10000.0,96.3,4.86,2500.0,0.0,1.0,0.32,0.57,900.0,10.1016_j.colsurfa.2023.132874_extracted_structured,p-kf-9b,,
2203.8,1.085,0.0173,126.9,1.068,2.0506,0.8489,,92.8,,7.2,,,1.0,357.9,10000.0,92.0,,,0.0,0.6,,,,10.1016_j.cej.2024.153229_extracted_structured,cts-4,F,提取的信息中存在以下不准确或缺失项：1) PCP_Element Content_C_value 提取为 92.8，但原文未提供 CTs-4 的 C 元素含量具体数值，仅通过 XPS 数据可推断 O 含量为 7.21%、N 含量为 1.2%，C 含量应为约 91.59%，提取值 92.8 无依据；2) PCP_Element Content_N_value 提取为 null，但原文明确指出 CTs-4 的 N 含量为 1.2%（XPS 部分）；3) PCP_Element Content_O_value 提取为 7.2，但原文为 7.21%，数值不精确；4) Electrochem_Voltage Window_value_min 和 max 提取为 0.0 和 0.6，但原文未明确指定 CTs-4 的电压窗口范围，仅提到 CV 曲线在 0.6 V 处有氧化还原峰，无完整窗口支撑，属推断信息。其他数据如比表面积、孔体积、比电容等均准确匹配原文 Table 1 和电化学部分。
2203.8,1.085,0.0173,126.9,1.068,2.0506,0.8489,,92.8,,7.2,,,,284.0,10000.0,92.0,,,0.0,0.6,,,,10.1016_j.cej.2024.153229_extracted_structured,cts-4,F,提取的信息中存在以下不准确或缺失：1) PCP_Element Content_C_value: 92.8 未在原文中提及，原文仅提供 CTs-4 的 O 含量 (7.21%) 和 N 含量 (1.2%)，未给出 C 含量；2) PCP_Element Content_N_value: null，但原文明确给出 CTs-4 的 N 含量为 1.2%；3) Electrochem_Specific Capacitance_value: 284.0 虽在原文中出现，但对应 20 A g⁻¹ 电流密度，而提取的 Electrochem_Specific Capacitance_condition_value 为 null，未指定条件，导致信息不完整；4) Electrochem_Voltage_Window_value_min: 0.0 和 max: 0.6 未在原文中明确支持，原文未提供 CTs-4 的具体电压窗口范围。其他数据点如 BET 特性、拉曼 ID/IG 比值、循环稳定性等与原文一致。
2027.0,0.84,0.7,1793.0,0.14,1.45,0.93,,90.3,,9.7,,,0.5,319.0,,,,,0.0,0.54,0.46,,750.0,10.1016_j.electacta.2017.02.078_extracted_structured,wjc-750,,
2438.0,1.0,0.85,2170.0,0.15,1.58,0.91,,93.3,,6.7,,,0.5,398.0,,,,,0.0,0.54,0.44,,800.0,10.1016_j.electacta.2017.02.078_extracted_structured,wjc-800,,
2438.0,1.0,0.85,2170.0,0.15,1.58,0.91,,93.3,,6.7,,,0.5,260.0,,,,,0.0,0.54,0.44,,800.0,10.1016_j.electacta.2017.02.078_extracted_structured,wjc-800,F,"提取的碳含量为 93.3%，但原文中只明确给出氧含量为 6.7%，碳含量未直接提及，属于推断；提取的比电容为 260.0 F/g，但原文中 WJC-800 在 three-electrode 配置下为 398 F/g，提取未指定配置且与主要数据不符；提取的电压窗口最小值为 0.0 V，但原文中为 -1.03 V；提取的循环稳定性、能量密度和功率密度为 null，但原文中提供了相关数据（如循环 10,000 次后容量保留率 97% 和 87%，能量密度 13.33 Wh/kg 等）。"
1843.0,0.74,0.63,1641.0,0.11,1.66,0.87,,94.9,,5.1,,,0.5,269.0,,,,,0.0,0.54,0.43,,850.0,10.1016_j.electacta.2017.02.078_extracted_structured,wjc-850,,
1166.0,0.81,0.45,,0.36,2.16,0.95,,89.92,4.87,5.21,,,1.0,156.0,,,,,-1.0,0.0,,,850.0,10.1016_j.matchemphys.2020.123201_extracted_structured,w-850°c-10,,
1166.0,0.81,0.45,,0.36,2.16,0.95,,89.92,4.87,5.21,,,0.5,212.0,,,,,-1.0,0.0,,,850.0,10.1016_j.matchemphys.2020.123201_extracted_structured,w-850°c-10,,
1166.0,0.81,0.45,,0.36,2.16,0.95,,89.92,4.87,5.21,,,1.0,196.0,,,,,-1.0,0.0,,,850.0,10.1016_j.matchemphys.2020.123201_extracted_structured,w-850°c-10,,
1166.0,0.81,0.45,,0.36,2.16,0.95,,89.92,4.87,5.21,,,2.0,187.0,,,,,-1.0,0.0,,,850.0,10.1016_j.matchemphys.2020.123201_extracted_structured,w-850°c-10,,
1166.0,0.81,0.45,,0.36,2.16,0.95,,89.92,4.87,5.21,,,5.0,178.0,,,,,-1.0,0.0,,,850.0,10.1016_j.matchemphys.2020.123201_extracted_structured,w-850°c-10,F,提取的电化学比电容数据不正确。样本 W-850°C-10 的比电容在原文中仅提及在 1 A g⁻¹ 下为 ~156 F g⁻¹（见 Fig. 7b 和相关文本），但提取中为 178 F g⁻¹（条件 5 A g⁻¹），这对应于 850°C-10 样本在 5 A g⁻¹ 下的数据（见 Fig. 7e）。样本名称 'w-850°c-10' 与原文 'W-850°C-10' 大小写不一致，但数值混淆是主要错误。其他属性（如比表面积、孔体积、元素含量等）均与原文 Table 1 和 Table 2 一致，缺失数据（如微孔比表面积、循环稳定性等）的 null 值也符合原文未提及的情况。
1166.0,0.81,0.45,,0.36,2.16,0.95,,89.92,4.87,5.21,,,10.0,170.0,,,,,-1.0,0.0,,,850.0,10.1016_j.matchemphys.2020.123201_extracted_structured,w-850°c-10,,
1040.0,0.56,0.4,,0.16,1.76,0.91,,71.17,3.52,25.3,,,1.0,143.0,,,,,-1.0,0.0,,,850.0,10.1016_j.matchemphys.2020.123201_extracted_structured,850°c-0,,
1108.0,0.72,0.45,,0.27,1.85,0.94,,85.64,6.82,7.54,,,1.0,154.0,,,,,-1.0,0.0,,,800.0,10.1016_j.matchemphys.2020.123201_extracted_structured,800°c-10,,
1382.0,1.12,0.62,,0.5,2.35,0.97,,89.08,5.16,5.76,,,1.0,196.0,5000.0,87.4,9.7,261.44,-1.0,0.0,,,850.0,10.1016_j.matchemphys.2020.123201_extracted_structured,850°c-10,,
1382.0,1.12,0.62,,0.5,2.35,0.97,,89.08,5.16,5.76,,,0.5,212.0,5000.0,87.4,9.7,261.44,-1.0,0.0,,,850.0,10.1016_j.matchemphys.2020.123201_extracted_structured,850°c-10,,
1382.0,1.12,0.62,,0.5,2.35,0.97,,89.08,5.16,5.76,,,2.0,187.0,5000.0,87.4,9.7,261.44,-1.0,0.0,,,850.0,10.1016_j.matchemphys.2020.123201_extracted_structured,850°c-10,,
1382.0,1.12,0.62,,0.5,2.35,0.97,,89.08,5.16,5.76,,,5.0,178.0,5000.0,87.4,9.7,261.44,-1.0,0.0,,,850.0,10.1016_j.matchemphys.2020.123201_extracted_structured,850°c-10,T,所有提取的数值、单位和材料名称均与原文完全对应。具体如下：物理化学性质中，比表面积1382 m²/g、总孔体积1.12 cm³/g、微孔体积0.62 cm³/g、介孔体积0.5 cm³/g、平均孔径2.35 nm、石墨化程度ID/IG 0.97、元素含量C 89.08%、N 5.16%、O 5.76%均来自Table 1和Table 2；缺失数据（微孔比表面积、层间距、H和S含量）原文未提及，提取为null正确。电化学性质中，比电容178 F/g在5 A/g电流密度下来自Fig. 7e描述；循环稳定性5000次循环后容量保持率87.4%来自Fig. 7f描述；能量密度9.7 Wh/kg和功率密度261.44 W/kg来自结论部分；电压窗口-1.0 V至0.0 V来自三电极系统描述；缺失数据（ESR、Rct）原文未提供具体数值，提取为null正确。制备参数碳化温度850°C和样本名称850°C-10与样本命名规则一致。无虚构信息或数值混淆。
1382.0,1.12,0.62,,0.5,2.35,0.97,,89.08,5.16,5.76,,,10.0,170.0,5000.0,87.4,9.7,261.44,-1.0,0.0,,,850.0,10.1016_j.matchemphys.2020.123201_extracted_structured,850°c-10,,
1228.0,0.88,0.46,,0.42,2.21,0.92,,77.5,4.85,17.65,,,1.0,162.0,,,,,-1.0,0.0,,,900.0,10.1016_j.matchemphys.2020.123201_extracted_structured,900°c-10,,
402.42,0.2,0.14,359.81,0.05,5.5,1.0,,85.0,5.0,10.0,,,0.5,221.0,10000.0,100.0,7.57,250.0,-1.0,0.0,1.0,1.0,600.0,10.1016_j.jaap.2023.105894_extracted_structured,ck-600,,
402.42,0.2,0.14,359.81,0.05,5.5,1.0,,85.0,5.0,10.0,,,1.0,210.0,10000.0,100.0,7.57,250.0,-1.0,0.0,1.0,1.0,600.0,10.1016_j.jaap.2023.105894_extracted_structured,ck-600,,
402.42,0.2,0.14,359.81,0.05,5.5,1.0,,85.0,5.0,10.0,,,10.0,82.0,10000.0,100.0,7.57,250.0,-1.0,0.0,1.0,1.0,600.0,10.1016_j.jaap.2023.105894_extracted_structured,ck-600,,
1300.47,1.005,0.646,,,2.42,1.01,,,,,,,1.0,320.0,,,,,0.0,0.0,,,800.0,10.1016_j.jmrt.2022.01.056_extracted_structured,ehpc-800,,
2389.12,1.384,0.694,,,2.43,1.03,,,,,,,1.0,469.0,,,,,0.0,0.0,,,900.0,10.1016_j.jmrt.2022.01.056_extracted_structured,ehpc-900,,
1947.37,1.264,0.367,,,3.16,1.14,,,,,,,1.0,469.0,20000.0,99.95,15.83,55.5,0.0,0.0,,,,10.1016_j.jmrt.2022.01.056_extracted_structured,ehpc-1000,F,提取的信息存在以下不准确、缺失或虚构问题：1) PCP_Mesopore Volume_value应为0.899 cm³/g（原文明确提及EHPC-1000的mesopore volume为0.899 cm³/g），但提取为null，违反完整性；2) Electrochem_Voltage Window_value_min和Electrochem_Voltage Window_value_max被设为0.0，但原文未提供电压窗口的具体数值（仅提及三电极系统电位范围为-1.0~0 V，但未指定两电极系统数值），属于虚构信息，违反非虚构性；3) Preparation_Carbonization Temperature_value应为1000°C（原文明确EHPC-1000在1000°C碳化），但提取为null，违反完整性。其他数据点如PCP_Specific Surface Area、PCP_Total Pore Volume等均准确对应原文。
1947.37,1.264,0.367,,,3.16,1.14,,,,,,,,320.0,20000.0,99.95,15.83,55.5,0.0,0.0,,,,10.1016_j.jmrt.2022.01.056_extracted_structured,ehpc-1000,F,"提取的信息中存在多处不准确或缺失：1) PCP_Mesopore Volume_value 提取为 null，但原文在 3.1 节明确给出 EHPC-1000 的介孔体积为 0.899 cm³/g（'The micropore/mesopore volume of EHPC-1000 materials are 0.367/0.899 cm³ g−1'）；2) Preparation_Carbonization Temperature_value 提取为 null，但原文在 2.2 节明确 EHPC-1000 的碳化温度为 1000°C（'carbonized in a nickel crucible at 800, 900, or 1000 °C'）；3) Electrochem_Specific Capacitance_value 提取为 320.0 F/g，但原文在 3.2 节明确 EHPC-1000 的比电容为 469 F g⁻¹（'The maximum C s of the EHPC-1000 material is 469 F g⁻¹ at 1 A g⁻¹'）；4) Electrochem_Specific Capacitance_condition_value 提取为 null，但原文明确条件为 'at 1 A g⁻¹'；5) Electrochem_Voltage Window_value_min 和 _max 提取为 0.0，但原文在 2.4 节明确三电极系统电压范围为 −1.0 ∼ 0 V（'in the potential range between −1.0 ∼ 0 V'）。其他 null 值（如 PCP_Micropore Specific Surface Area_value、PCP_Element Content 系列等）正确，因原文未提供相应数据。"
2072.0,2.13,0.6,0.6,,,0.976,,89.44,1.84,,,,,170.0,,,,,-0.2,0.8,,,800.0,10.1016_j.diamond.2022.109164_extracted_structured,a-scg 1:4,,
1648.91,0.911,0.327,689.86,0.584,2.436,1.04,,89.31,3.1,6.6,,,1.0,227.0,,,,,-1.0,0.0,1.154,0.62,800.0,10.1016_j.diamond.2021.108614_extracted_structured,rca,,
1648.91,0.911,0.327,689.86,0.584,2.436,1.04,,89.31,3.1,6.6,,,0.5,244.0,,,,,-1.0,0.0,1.154,0.62,800.0,10.1016_j.diamond.2021.108614_extracted_structured,rca,,
1648.91,0.911,0.327,689.86,0.584,2.436,1.04,,89.31,3.1,6.6,,,2.0,210.0,,,,,-1.0,0.0,1.154,0.62,800.0,10.1016_j.diamond.2021.108614_extracted_structured,rca,,
1648.91,0.911,0.327,689.86,0.584,2.436,1.04,,89.31,3.1,6.6,,,5.0,196.0,,,,,-1.0,0.0,1.154,0.62,800.0,10.1016_j.diamond.2021.108614_extracted_structured,rca,F,提取的Sample Name为'rca'，但原文中对应样本的名称是'RCA'，大小写不一致，不符合'材料名称必须与原文完全对应'的要求。其他所有数值、单位和数据点均准确无误，且得到了原文的充分支持：物理化学性质数据（如BET比表面积1648.91 m²/g、总孔体积0.911 cm³/g等）来自Table 1；元素含量数据（如C 89.31 at.%、N 3.1 at.%等）来自Table 2；电化学性质数据（如5 A/g下比电容196 F/g、电压窗口-1.0至0.0 V、ESR 1.154 Ω、Rct 0.62 Ω）来自Fig. 6和Results and discussion部分；碳化温度800°C来自Experimental部分；缺失数据（如d002、H元素含量、循环稳定性等）正确设为null，因原文未提供相关信息。
1648.91,0.911,0.327,689.86,0.584,2.436,1.04,,89.31,3.1,6.6,,,10.0,177.0,,,,,-1.0,0.0,1.154,0.62,800.0,10.1016_j.diamond.2021.108614_extracted_structured,rca,,
941.48,0.549,0.336,713.12,0.213,2.39,1.02,,83.78,3.68,11.69,,,1.0,352.0,10000.0,90.0,,,-1.0,0.0,0.961,0.45,800.0,10.1016_j.diamond.2021.108614_extracted_structured,rca-n,,
